1650745804016, 0, 0, -0.1975
1650745804017, 0, 0, -0.1975
1650745804018, 0, 0, -0.1975
1650745804019, 0, 0, -0.1975
1650745804020, 0, 0, -0.1975
1650745804022, 0, 0, -0.1975
1650745804023, 0, 0, -0.1975
1650745804024, 0, 0, -0.1975
1650745804026, 0, 0, -0.1975
1650745804029, -nan, -nan, -nan
1650745804031, -nan, -nan, -nan
1650745804032, -nan, -nan, -nan
1650745804034, -nan, -nan, -nan
1650745804035, -nan, -nan, -nan
1650745804036, -nan, -nan, -nan
1650745804037, -nan, -nan, -nan
1650745804039, -nan, -nan, -nan
1650745804040, -nan, -nan, -nan
1650745804041, -nan, -nan, -nan
1650745804043, -nan, -nan, -nan
1650745804044, -nan, -nan, -nan
1650745804046, -nan, -nan, -nan
1650745804049, -nan, -nan, -nan
1650745804051, -nan, -nan, -nan
1650745804053, -nan, -nan, -nan
1650745804055, -nan, -nan, -nan
1650745804056, -nan, -nan, -nan
1650745804058, -nan, -nan, -nan
1650745804061, -nan, -nan, -nan
1650745804063, -nan, -nan, -nan
1650745804071, -nan, -nan, -nan
1650745804073, -nan, -nan, -nan
1650745804074, -nan, -nan, -nan
1650745804076, -nan, -nan, -nan
1650745804077, -nan, -nan, -nan
1650745804078, -nan, -nan, -nan
1650745804079, -nan, -nan, -nan
1650745804082, -nan, -nan, -nan
1650745804084, -nan, -nan, -nan
1650745804085, -nan, -nan, -nan
1650745804086, -nan, -nan, -nan
1650745804087, -nan, -nan, -nan
1650745804088, -nan, -nan, -nan
1650745804090, -nan, -nan, -nan
1650745804091, -nan, -nan, -nan
1650745804092, -nan, -nan, -nan
1650745804094, -nan, -nan, -nan
1650745804096, -nan, -nan, -nan
1650745804099, -nan, -nan, -nan
1650745804101, -nan, -nan, -nan
1650745804103, -nan, -nan, -nan
1650745804105, -nan, -nan, -nan
1650745804106, -nan, -nan, -nan
1650745804107, -nan, -nan, -nan
1650745804108, -nan, -nan, -nan
1650745804109, -nan, -nan, -nan
1650745804110, -nan, -nan, -nan
1650745804111, -nan, -nan, -nan
1650745804113, -nan, -nan, -nan
1650745804115, -nan, -nan, -nan
1650745804117, -nan, -nan, -nan
1650745804119, -nan, -nan, -nan
1650745804121, -nan, -nan, -nan
1650745804123, -nan, -nan, -nan
1650745804125, -nan, -nan, -nan
1650745804127, -nan, -nan, -nan
1650745804129, -nan, -nan, -nan
1650745804131, -nan, -nan, -nan
1650745804133, -nan, -nan, -nan
1650745804135, -nan, -nan, -nan
1650745804137, -nan, -nan, -nan
1650745804140, -nan, -nan, -nan
1650745804142, -nan, -nan, -nan
1650745804143, -nan, -nan, -nan
1650745804145, -nan, -nan, -nan
1650745804147, -nan, -nan, -nan
1650745804150, -nan, -nan, -nan
1650745804152, -nan, -nan, -nan
1650745804154, -nan, -nan, -nan
1650745804157, -nan, -nan, -nan
1650745804159, -nan, -nan, -nan
1650745804161, -nan, -nan, -nan
1650745804163, -nan, -nan, -nan
1650745804165, -nan, -nan, -nan
1650745804168, -nan, -nan, -nan
1650745804170, -nan, -nan, -nan
1650745804172, -nan, -nan, -nan
1650745804174, -nan, -nan, -nan
1650745804176, -nan, -nan, -nan
1650745804178, -nan, -nan, -nan
1650745804180, -nan, -nan, -nan
1650745804183, -nan, -nan, -nan
1650745804185, -nan, -nan, -nan
1650745804187, -nan, -nan, -nan
1650745804189, -nan, -nan, -nan
1650745804191, -nan, -nan, -nan
1650745804194, -nan, -nan, -nan
1650745804196, -nan, -nan, -nan
1650745804198, -nan, -nan, -nan
1650745804200, -nan, -nan, -nan
1650745804202, -nan, -nan, -nan
1650745804205, -nan, -nan, -nan
1650745804207, -nan, -nan, -nan
1650745804208, -nan, -nan, -nan
1650745804210, -nan, -nan, -nan
1650745804212, -nan, -nan, -nan
1650745804214, -nan, -nan, -nan
1650745804216, -nan, -nan, -nan
1650745804218, -nan, -nan, -nan
1650745804221, -nan, -nan, -nan
1650745804223, -nan, -nan, -nan
1650745804225, -nan, -nan, -nan
1650745804227, -nan, -nan, -nan
1650745804230, -nan, -nan, -nan
1650745804232, -nan, -nan, -nan
1650745804234, -nan, -nan, -nan
1650745804236, -nan, -nan, -nan
1650745804239, -nan, -nan, -nan
1650745804241, -nan, -nan, -nan
1650745804243, -nan, -nan, -nan
1650745804246, -nan, -nan, -nan
1650745804248, -nan, -nan, -nan
1650745804250, -nan, -nan, -nan
1650745804252, -nan, -nan, -nan
1650745804255, -nan, -nan, -nan
1650745804261, -nan, -nan, -nan
1650745804262, -nan, -nan, -nan
1650745804263, -nan, -nan, -nan
1650745804264, -nan, -nan, -nan
1650745804266, -nan, -nan, -nan
1650745804267, -nan, -nan, -nan
1650745804269, -nan, -nan, -nan
1650745804271, -nan, -nan, -nan
1650745804273, -nan, -nan, -nan
1650745804276, -nan, -nan, -nan
1650745804278, -nan, -nan, -nan
1650745804280, -nan, -nan, -nan
1650745804283, -nan, -nan, -nan
1650745804285, -nan, -nan, -nan
1650745804287, -nan, -nan, -nan
1650745804289, -nan, -nan, -nan
1650745804291, -nan, -nan, -nan
1650745804293, -nan, -nan, -nan
1650745804294, -nan, -nan, -nan
1650745804297, -nan, -nan, -nan
1650745804299, -nan, -nan, -nan
1650745804301, -nan, -nan, -nan
1650745804303, -nan, -nan, -nan
1650745804305, -nan, -nan, -nan
1650745804308, -nan, -nan, -nan
1650745804310, -nan, -nan, -nan
1650745804312, -nan, -nan, -nan
1650745804314, -nan, -nan, -nan
1650745804316, -nan, -nan, -nan
1650745804319, -nan, -nan, -nan
1650745804321, -nan, -nan, -nan
1650745804323, -nan, -nan, -nan
1650745804325, -nan, -nan, -nan
1650745804327, -nan, -nan, -nan
1650745804329, -nan, -nan, -nan
1650745804331, -nan, -nan, -nan
1650745804334, -nan, -nan, -nan
1650745804336, -nan, -nan, -nan
1650745804338, -nan, -nan, -nan
1650745804340, -nan, -nan, -nan
1650745804342, -nan, -nan, -nan
1650745804344, -nan, -nan, -nan
1650745804346, -nan, -nan, -nan
1650745804349, -nan, -nan, -nan
1650745804351, -nan, -nan, -nan
1650745804355, -nan, -nan, -nan
1650745804361, -nan, -nan, -nan
1650745804363, -nan, -nan, -nan
1650745804366, -nan, -nan, -nan
1650745804368, -nan, -nan, -nan
1650745804370, -nan, -nan, -nan
1650745804371, -nan, -nan, -nan
1650745804373, -nan, -nan, -nan
1650745804375, -nan, -nan, -nan
1650745804377, -nan, -nan, -nan
1650745804379, -nan, -nan, -nan
1650745804381, -nan, -nan, -nan
1650745804383, -nan, -nan, -nan
1650745804385, -nan, -nan, -nan
1650745804386, -nan, -nan, -nan
1650745804387, -nan, -nan, -nan
1650745804389, -nan, -nan, -nan
1650745804393, -nan, -nan, -nan
1650745804399, -nan, -nan, -nan
1650745804400, -nan, -nan, -nan
1650745804403, -nan, -nan, -nan
1650745804407, -nan, -nan, -nan
1650745804411, -nan, -nan, -nan
1650745804413, -nan, -nan, -nan
1650745804416, -nan, -nan, -nan
1650745804418, -nan, -nan, -nan
1650745804419, -nan, -nan, -nan
1650745804420, -nan, -nan, -nan
1650745804422, -nan, -nan, -nan
1650745804425, -nan, -nan, -nan
1650745804426, -nan, -nan, -nan
1650745804428, -nan, -nan, -nan
1650745804430, -nan, -nan, -nan
1650745804432, -nan, -nan, -nan
1650745804433, -nan, -nan, -nan
1650745804434, -nan, -nan, -nan
1650745804436, -nan, -nan, -nan
1650745804437, -nan, -nan, -nan
1650745804439, -nan, -nan, -nan
1650745804440, -nan, -nan, -nan
1650745804442, -nan, -nan, -nan
1650745804445, -nan, -nan, -nan
1650745804447, -nan, -nan, -nan
1650745804448, -nan, -nan, -nan
1650745804450, -nan, -nan, -nan
1650745804452, -nan, -nan, -nan
1650745804453, -nan, -nan, -nan
1650745804454, -nan, -nan, -nan
1650745804456, -nan, -nan, -nan
1650745804458, -nan, -nan, -nan
1650745804459, -nan, -nan, -nan
1650745804460, -nan, -nan, -nan
1650745804462, -nan, -nan, -nan
1650745804464, -nan, -nan, -nan
1650745804465, -nan, -nan, -nan
1650745804467, -nan, -nan, -nan
1650745804470, -nan, -nan, -nan
1650745804472, -nan, -nan, -nan
1650745804475, -nan, -nan, -nan
1650745804476, -nan, -nan, -nan
1650745804483, -nan, -nan, -nan
1650745804485, -nan, -nan, -nan
1650745804489, -nan, -nan, -nan
1650745804490, -nan, -nan, -nan
1650745804492, -nan, -nan, -nan
1650745804493, -nan, -nan, -nan
1650745804499, -nan, -nan, -nan
1650745804501, -nan, -nan, -nan
1650745804502, -nan, -nan, -nan
1650745804503, -nan, -nan, -nan
1650745804505, -nan, -nan, -nan
1650745804506, -nan, -nan, -nan
1650745804507, -nan, -nan, -nan
1650745804509, -nan, -nan, -nan
1650745804510, -nan, -nan, -nan
1650745804516, -nan, -nan, -nan
1650745804518, -nan, -nan, -nan
1650745804520, -nan, -nan, -nan
1650745804523, -nan, -nan, -nan
1650745804525, -nan, -nan, -nan
1650745804528, -nan, -nan, -nan
1650745804530, -nan, -nan, -nan
1650745804532, -nan, -nan, -nan
1650745804534, -nan, -nan, -nan
1650745804542, -nan, -nan, -nan
1650745804544, -nan, -nan, -nan
1650745804545, -nan, -nan, -nan
1650745804546, -nan, -nan, -nan
1650745804548, -nan, -nan, -nan
1650745804556, -nan, -nan, -nan
1650745804558, -nan, -nan, -nan
1650745804560, -nan, -nan, -nan
1650745804561, -nan, -nan, -nan
1650745804562, -nan, -nan, -nan
1650745804564, -nan, -nan, -nan
1650745804565, -nan, -nan, -nan
1650745804569, -nan, -nan, -nan
1650745804572, -nan, -nan, -nan
1650745804574, -nan, -nan, -nan
1650745804575, -nan, -nan, -nan
1650745804577, -nan, -nan, -nan
1650745804585, -nan, -nan, -nan
1650745804586, -nan, -nan, -nan
1650745804589, -nan, -nan, -nan
1650745804591, -nan, -nan, -nan
1650745804592, -nan, -nan, -nan
1650745804599, -nan, -nan, -nan
1650745804601, -nan, -nan, -nan
1650745804603, -nan, -nan, -nan
1650745804605, -nan, -nan, -nan
1650745804606, -nan, -nan, -nan
1650745804608, -nan, -nan, -nan
1650745804609, -nan, -nan, -nan
1650745804611, -nan, -nan, -nan
1650745804613, -nan, -nan, -nan
1650745804615, -nan, -nan, -nan
1650745804617, -nan, -nan, -nan
1650745804618, -nan, -nan, -nan
1650745804619, -nan, -nan, -nan
1650745804620, -nan, -nan, -nan
1650745804622, -nan, -nan, -nan
1650745804624, -nan, -nan, -nan
1650745804626, -nan, -nan, -nan
1650745804628, -nan, -nan, -nan
1650745804631, -nan, -nan, -nan
1650745804633, -nan, -nan, -nan
1650745804635, -nan, -nan, -nan
1650745804638, -nan, -nan, -nan
1650745804642, -nan, -nan, -nan
1650745804645, -nan, -nan, -nan
1650745804646, -nan, -nan, -nan
1650745804647, -nan, -nan, -nan
1650745804649, -nan, -nan, -nan
1650745804650, -nan, -nan, -nan
1650745804653, -nan, -nan, -nan
1650745804655, -nan, -nan, -nan
1650745804657, -nan, -nan, -nan
1650745804658, -nan, -nan, -nan
1650745804660, -nan, -nan, -nan
1650745804662, -nan, -nan, -nan
1650745804664, -nan, -nan, -nan
1650745804666, -nan, -nan, -nan
1650745804669, -nan, -nan, -nan
1650745804671, -nan, -nan, -nan
1650745804674, -nan, -nan, -nan
1650745804675, -nan, -nan, -nan
1650745804677, -nan, -nan, -nan
1650745804679, -nan, -nan, -nan
1650745804680, -nan, -nan, -nan
1650745804682, -nan, -nan, -nan
1650745804685, -nan, -nan, -nan
1650745804687, -nan, -nan, -nan
1650745804690, -nan, -nan, -nan
1650745804691, -nan, -nan, -nan
1650745804697, -nan, -nan, -nan
1650745804699, -nan, -nan, -nan
1650745804700, -nan, -nan, -nan
1650745804702, -nan, -nan, -nan
1650745804704, -nan, -nan, -nan
1650745804705, -nan, -nan, -nan
1650745804707, -nan, -nan, -nan
1650745804710, -nan, -nan, -nan
1650745804712, -nan, -nan, -nan
1650745804714, -nan, -nan, -nan
1650745804715, -nan, -nan, -nan
1650745804717, -nan, -nan, -nan
1650745804719, -nan, -nan, -nan
1650745804720, -nan, -nan, -nan
1650745804722, -nan, -nan, -nan
1650745804727, -nan, -nan, -nan
1650745804729, -nan, -nan, -nan
1650745804731, -nan, -nan, -nan
1650745804732, -nan, -nan, -nan
1650745804733, -nan, -nan, -nan
1650745804734, -nan, -nan, -nan
1650745804736, -nan, -nan, -nan
1650745804737, -nan, -nan, -nan
1650745804738, -nan, -nan, -nan
1650745804740, -nan, -nan, -nan
1650745804742, -nan, -nan, -nan
1650745804745, -nan, -nan, -nan
1650745804748, -nan, -nan, -nan
1650745804750, -nan, -nan, -nan
1650745804752, -nan, -nan, -nan
1650745804756, -nan, -nan, -nan
1650745804757, -nan, -nan, -nan
1650745804759, -nan, -nan, -nan
1650745804761, -nan, -nan, -nan
1650745804762, -nan, -nan, -nan
1650745804763, -nan, -nan, -nan
1650745804765, -nan, -nan, -nan
1650745804766, -nan, -nan, -nan
1650745804768, -nan, -nan, -nan
1650745804770, -nan, -nan, -nan
1650745804771, -nan, -nan, -nan
1650745804773, -nan, -nan, -nan
1650745804775, -nan, -nan, -nan
1650745804777, -nan, -nan, -nan
1650745804780, -nan, -nan, -nan
1650745804782, -nan, -nan, -nan
1650745804784, -nan, -nan, -nan
1650745804787, -nan, -nan, -nan
1650745804789, -nan, -nan, -nan
1650745804793, -nan, -nan, -nan
1650745804794, -nan, -nan, -nan
1650745804799, -nan, -nan, -nan
1650745804801, -nan, -nan, -nan
1650745804804, -nan, -nan, -nan
1650745804806, -nan, -nan, -nan
1650745804807, -nan, -nan, -nan
1650745804809, -nan, -nan, -nan
1650745804810, -nan, -nan, -nan
1650745804811, -nan, -nan, -nan
1650745804814, -nan, -nan, -nan
1650745804821, -nan, -nan, -nan
1650745804823, -nan, -nan, -nan
1650745804825, -nan, -nan, -nan
1650745804826, -nan, -nan, -nan
1650745804828, -nan, -nan, -nan
1650745804829, -nan, -nan, -nan
1650745804831, -nan, -nan, -nan
1650745804833, -nan, -nan, -nan
1650745804835, -nan, -nan, -nan
1650745804836, -nan, -nan, -nan
1650745804838, -nan, -nan, -nan
1650745804839, -nan, -nan, -nan
1650745804841, -nan, -nan, -nan
1650745804843, -nan, -nan, -nan
1650745804844, -nan, -nan, -nan
1650745804846, -nan, -nan, -nan
